S.No,Order ID,Order Date,Description of Item,Quantity,Total Amount (Rs.),Source PDF File
1,245216273194205,09-08-2026,The Health Factory 100% Whole Wheat Bread (Zero Maida),1 NOS,65,245216273194205_merged.pdf
2,245216273194205,09-08-2026,Dill Leaves (Sabbasige Soppu),1 NOS,12,245216273194205_merged.pdf
3,245216273194205,09-08-2026,Britannia Milk Bikis Sandwich Biscuits,1 NOS,42,245216273194205_merged.pdf
4,245216273194205,09-08-2026,Onion (Eerulli),1 NOS,35,245216273194205_merged.pdf
5,245216273194205,09-08-2026,"Pampers Pant Diaper (L, 9-14 Kg, 44 Pieces, Premium Care, Cottony Soft)",1 NOS,854,245216273194205_merged.pdf
6,245216273194205,09-08-2026,Small Bitter Gourd (Hagalakaayi),1 NOS,22,245216273194205_merged.pdf
7,245216273194205,09-08-2026,NOICE Idli Dosa Batter (Stoneground),1 NOS,39,245216273194205_merged.pdf
8,245255853181956,09-08-2026,Lay's (Spanish Tomato Tango Flavour) Potato Chips,2 NOS,40,245255853181956_merged.pdf
9,245255853181956,09-08-2026,Red Rock Deli Baked Chips (Risotto) 40% Less Fat Snacks,1 NOS,45,245255853181956_merged.pdf
10,245255853181956,09-08-2026,Diet Coke Can| Cola Sparkling Soft Drink | The Coca-Cola Company,1 NOS,50,245255853181956_merged.pdf
11,245255853181956,09-08-2026,"Paper Boat Zero Prebiotic Soda Mint Mojito, 5g Fibre, Caffeinated Sugar Free Cold Drink",1 NOS,49,245255853181956_merged.pdf
12,245255853181956,09-08-2026,NOICE Bharuchi Special Jumbo Peanuts (No Palm Oil Snacks & Namkeen),1 NOS,79,245255853181956_merged.pdf
13,245255853181956,09-08-2026,VS Mani & Co. Potato Hot Chips Salt No Palm Oil,1 NOS,37,245255853181956_merged.pdf
14,245255853181956,09-08-2026,Thums Up PET | Cola Sparkling Soft Drink | The Coca-Cola Company,1 NOS,39,245255853181956_merged.pdf
15,245299730112456,10-08-2026,Organic Certified Big Bharta Brinjal (Badanekaayi),1 NOS,36,245299730112456_merged.pdf
16,245299730112456,10-08-2026,Nandini Pasteurised Cow Milk,1 NOS,26,245299730112456_merged.pdf
17,245299730112456,10-08-2026,NOICE Fresh Matka Dahi (Traditionally Set Using Farm-Fresh Milk),1 NOS,69,245299730112456_merged.pdf
18,245299730112456,10-08-2026,nectr Baby Lady's Finger,2 NOS,20,245299730112456_merged.pdf
19,245299730112456,10-08-2026,Ridge Gourd (Herekaayi),1 NOS,30,245299730112456_merged.pdf
20,245299730112456,10-08-2026,Papaya (Semi-ripe Papaya),1 NOS,55,245299730112456_merged.pdf
21,245299730112456,10-08-2026,Bhoomi Farms Organically Grown Radish,1 NOS,35,245299730112456_merged.pdf
